datetime,stage
2015-12-10 16:00,133.69
2015-12-10 20:00,133.69
2015-12-11 00:00,133.67
2015-12-11 04:00,133.68
2015-12-11 08:00,133.67
2015-12-11 12:00,133.67
2015-12-11 16:00,133.66
2015-12-11 20:00,133.66
2015-12-12 00:00,133.68
2015-12-12 04:00,133.68
2015-12-12 08:00,133.67
2015-12-12 12:00,133.66
2015-12-12 16:00,133.67
2015-12-12 20:00,133.68
2015-12-13 00:00,133.68
2015-12-13 04:00,133.66
2015-12-13 08:00,133.66
2015-12-13 12:00,133.65
2015-12-13 16:00,133.67
2015-12-13 20:00,133.66
2015-12-14 00:00,133.67
2015-12-14 04:00,133.67
2015-12-14 08:00,133.69
2015-12-14 12:00,133.65
2015-12-14 16:00,133.65
2015-12-14 20:00,133.63
2015-12-15 00:00,133.63
2015-12-15 04:00,133.61
2015-12-15 08:00,133.62
2015-12-15 12:00,133.62
2015-12-15 16:00,133.65
2015-12-15 20:00,133.64
2015-12-16 00:00,133.63
2015-12-16 04:00,133.65
2015-12-16 08:00,133.61
2015-12-16 12:00,133.60
2015-12-16 16:00,133.60
2015-12-16 20:00,133.60
2015-12-17 00:00,133.61
2015-12-17 04:00,133.59
2015-12-17 08:00,133.60
2015-12-17 12:00,133.61
2015-12-17 16:00,133.61
2015-12-17 20:00,133.60
2015-12-18 00:00,133.61
2015-12-18 04:00,133.62
2015-12-18 08:00,133.63
2015-12-18 12:00,133.64
2015-12-18 16:00,133.63
2015-12-18 20:00,133.63
2015-12-19 00:00,133.64
2015-12-19 04:00,133.65
2015-12-19 08:00,133.65
2015-12-19 12:00,133.65
2015-12-19 16:00,133.65
2015-12-19 20:00,133.65
2015-12-20 00:00,133.65
2015-12-20 04:00,133.65
2015-12-20 08:00,133.65
2015-12-20 12:00,133.66
2015-12-20 16:00,133.67
2015-12-20 20:00,133.67
2015-12-21 00:00,133.66
2015-12-21 04:00,133.66
2015-12-21 08:00,133.66
2015-12-21 12:00,133.66
2015-12-21 16:00,133.66
2015-12-21 20:00,133.66
2015-12-22 00:00,133.66
2015-12-22 04:00,133.66
2015-12-22 08:00,133.66
2015-12-22 12:00,133.65
2015-12-22 16:00,133.64
2015-12-22 20:00,133.66
2015-12-23 00:00,133.66
2015-12-23 04:00,133.67
2015-12-23 08:00,133.67
2015-12-23 12:00,133.65
2015-12-23 16:00,133.66
2015-12-23 20:00,133.66
2015-12-24 00:00,133.66
2015-12-24 04:00,133.66
2015-12-24 08:00,133.65
2015-12-24 12:00,133.63
2015-12-24 16:00,133.63
2015-12-24 20:00,133.63
2015-12-25 00:00,133.64
2015-12-25 04:00,133.65
2015-12-25 08:00,133.65
2015-12-25 12:00,133.65
2015-12-25 16:00,133.65
2015-12-25 20:00,133.66
2015-12-26 00:00,133.67
2015-12-26 04:00,133.67
2015-12-26 08:00,133.67
2015-12-26 12:00,133.67
2015-12-26 16:00,133.66
2015-12-26 20:00,133.67
2015-12-27 00:00,133.64
2015-12-27 04:00,133.66
2015-12-27 08:00,133.65
2015-12-27 12:00,133.61
2015-12-27 16:00,133.63
2015-12-27 20:00,133.62
2015-12-28 00:00,133.62
2015-12-28 04:00,133.63
2015-12-28 08:00,133.66
2015-12-28 12:00,133.63
2015-12-28 16:00,133.66
2015-12-28 20:00,133.65
2015-12-29 00:00,133.66
2015-12-29 04:00,133.68
2015-12-29 08:00,133.68
2015-12-29 12:00,133.63
2015-12-29 16:00,133.63
2015-12-29 20:00,133.63
2015-12-30 00:00,133.61
2015-12-30 04:00,133.61
2015-12-30 08:00,133.61
2015-12-30 12:00,133.61
2015-12-30 16:00,133.59
2015-12-30 20:00,133.60
2015-12-31 00:00,133.61
2015-12-31 04:00,133.62
2015-12-31 08:00,133.65
2015-12-31 12:00,133.62
2015-12-31 16:00,133.62
2015-12-31 20:00,133.61
2016-01-01 00:00,133.58
2016-01-01 04:00,133.60
2016-01-01 08:00,133.61
2016-01-01 12:00,133.60
2016-01-01 16:00,133.59
2016-01-01 20:00,133.59
2016-01-02 00:00,133.59
2016-01-02 04:00,133.61
2016-01-02 08:00,133.62
2016-01-02 12:00,133.61
2016-01-02 16:00,133.62
2016-01-02 20:00,133.63
2016-01-03 00:00,133.62
2016-01-03 04:00,133.62
2016-01-03 08:00,133.63
2016-01-03 12:00,133.62
2016-01-03 16:00,133.68
2016-01-03 20:00,133.71
2016-01-04 00:00,133.69
2016-01-04 04:00,133.65
2016-01-04 08:00,133.71
2016-01-04 12:00,133.64
2016-01-04 16:00,133.63
2016-01-04 20:00,133.69
2016-01-05 00:00,133.69
2016-01-05 04:00,133.64
2016-01-05 08:00,133.62
2016-01-05 12:00,133.65
2016-01-05 16:00,133.69
2016-01-05 20:00,133.73
2016-01-06 00:00,133.75
2016-01-06 04:00,133.76
2016-01-06 08:00,133.77
2016-01-06 12:00,133.73
2016-01-06 16:00,133.73
2016-01-06 20:00,133.73
2016-01-07 00:00,133.75
2016-01-07 04:00,133.75
2016-01-07 08:00,133.75
2016-01-07 12:00,133.73
2016-01-07 16:00,133.71
2016-01-07 20:00,133.67
