pp0000	426895.944	6654902.55	1	1
pp0001	426924.228	6654934.37	1	1
pp0002	426945.442	6654952.05	1	1
pp0003	426980.797	6654987.4	1	1
pp0004	427016.152	6655022.76	1	1
pp0005	426910.086	6654902.55	1	1
pp0006	426931.299	6654920.23	1	1
pp0007	426941.906	6654930.83	1	1
pp0008	426973.726	6654966.19	1	1
pp0009	427009.081	6655001.54	1	1
pp0010	427044.437	6655036.9	1	1
pp0011	426924.228	6654902.55	1	1
pp0012	426945.442	6654920.23	1	1
pp0013	426956.048	6654930.83	1	1
pp0014	426966.655	6654944.97	1	1
pp0015	427002.01	6654980.33	1	1
pp0016	427037.365	6655015.69	1	1
pp0017	426903.015	6654867.19	1	1
pp0018	426938.37	6654902.55	1	1
pp0019	426966.655	6654934.37	1	1
pp0020	426973.726	6654934.37	1	1
pp0021	427002.01	6654966.19	1	1
pp0022	427037.365	6655001.54	1	1
pp0023	427072.721	6655036.9	1	1
pp0024	426924.228	6654874.26	1	1
pp0025	426959.584	6654909.62	1	1
pp0026	426980.797	6654927.3	1	1
pp0027	426991.404	6654937.9	1	1
pp0028	427023.223	6654973.26	1	1
pp0029	427058.579	6655008.61	1	1
pp0030	426895.944	6654831.84	1	1
pp0031	426931.299	6654867.19	1	1
pp0032	426966.655	6654902.55	1	1
pp0033	426994.939	6654934.37	1	1
pp0034	427002.01	6654934.37	1	1
pp0035	427030.294	6654966.19	1	1
pp0036	427065.65	6655001.54	1	1
pp0037	427101.005	6655036.9	1	1
pp0038	426924.228	6654845.98	1	1
pp0039	426959.584	6654881.34	1	1
pp0040	426994.939	6654916.69	1	1
pp0041	427012.617	6654930.83	1	1
pp0042	427023.223	6654944.97	1	1
pp0043	427058.579	6654980.33	1	1
pp0044	427093.934	6655015.69	1	1
pp0045	426903.015	6654810.62	1	1
pp0046	426938.37	6654845.98	1	1
pp0047	426973.726	6654881.34	1	1
pp0048	427009.081	6654916.69	1	1
pp0049	427026.759	6654930.83	1	1
pp0050	427037.365	6654944.97	1	1
pp0051	427072.721	6654980.33	1	1
pp0052	427108.076	6655015.69	1	1
pp0053	426903.015	6654796.48	1	1
pp0054	426920.693	6654810.62	1	1
pp0055	426952.513	6654845.98	1	1
pp0056	426987.868	6654881.34	1	1
pp0057	427023.223	6654916.69	1	1
pp0058	427040.901	6654930.83	1	1
pp0059	427047.972	6654944.97	1	1
pp0060	427058.579	6654955.58	1	1
pp0061	427079.792	6654973.26	1	1
pp0062	427115.147	6655008.61	1	1
pp0063	427150.503	6655043.97	1	1
pp0064	427185.858	6655079.33	1	1
pp0065	427221.213	6655114.68	1	1
pp0066	427256.569	6655150.04	1	1
pp0067	427291.924	6655185.39	1	1
pp0068	427327.279	6655220.75	1	1
pp0069	427362.635	6655256.1	1	1
pp0070	426903.015	6654782.34	1	1
pp0071	426920.693	6654796.48	1	1
pp0072	426924.228	6654807.09	1	1
pp0073	426945.442	6654824.77	1	1
pp0074	426980.797	6654860.12	1	1
pp0075	427016.152	6654895.48	1	1
pp0076	427051.508	6654930.83	1	1
pp0077	427069.185	6654944.97	1	1
pp0078	427076.256	6654959.12	1	1
pp0079	427093.934	6654973.26	1	1
pp0080	427129.289	6655008.61	1	1
pp0081	427164.645	6655043.97	1	1
pp0082	427200.0	6655079.33	1	1
pp0083	427235.355	6655114.68	1	1
pp0084	427270.711	6655150.04	1	1
pp0085	427306.066	6655185.39	1	1
pp0086	427341.421	6655220.75	1	1
pp0087	427376.777	6655256.1	1	1
pp0088	426910.086	6654775.27	1	1
pp0089	426945.442	6654810.62	1	1
pp0090	426980.797	6654845.98	1	1
pp0091	427016.152	6654881.34	1	1
pp0092	427051.508	6654916.69	1	1
pp0093	427083.327	6654952.05	1	1
pp0094	427101.005	6654966.19	1	1
pp0095	427136.36	6655001.54	1	1
pp0096	427171.716	6655036.9	1	1
pp0097	427207.071	6655072.25	1	1
pp0098	427242.426	6655107.61	1	1
pp0099	427277.782	6655142.96	1	1
pp0100	427313.137	6655178.32	1	1
pp0101	427348.492	6655213.68	1	1
pp0102	427383.848	6655249.03	1	1
pp0103	427419.203	6655284.39	1	1
pp0104	426945.442	6654796.48	1	1
pp0105	426980.797	6654831.84	1	1
pp0106	427016.152	6654867.19	1	1
pp0107	427051.508	6654902.55	1	1
pp0108	427086.863	6654937.9	1	1
pp0109	427097.47	6654952.05	1	1
pp0110	427115.147	6654966.19	1	1
pp0111	427150.503	6655001.54	1	1
pp0112	427185.858	6655036.9	1	1
pp0113	427221.213	6655072.25	1	1
pp0114	427256.569	6655107.61	1	1
pp0115	427291.924	6655142.96	1	1
pp0116	427327.279	6655178.32	1	1
pp0117	427362.635	6655213.68	1	1
pp0118	427397.99	6655249.03	1	1
pp0119	427433.345	6655284.39	1	1
pp0120	426952.513	6654789.41	1	1
pp0121	426987.868	6654824.77	1	1
pp0122	427023.223	6654860.12	1	1
pp0123	427058.579	6654895.48	1	1
pp0124	427093.934	6654930.83	1	1
pp0125	427111.612	6654944.97	1	1
pp0126	427122.218	6654959.12	1	1
pp0127	427157.574	6654994.47	1	1
pp0128	427192.929	6655029.83	1	1
pp0129	427228.284	6655065.18	1	1
